"name" "Na" "Mg" "Al" "Si" "P" "K" "Ca" "Ti" "Mn" "Fe" "S" "Ba" "Sr" "Zr" "Cl"
"БК" "4080.0" "1020.0" "1830.0" "9690.0" "1890.0" "9870.0" "9180.0" "12210.0" "7920.0" "26340.0" "10560.0" "15570.0" "450900.0" "611070.0" "3900.0"
"SGD-2" "5040.0" "57180.0" "499230.0" "2135550.0" "131010.0" "1359600.0" "1938600.0" "286740.0" "43290.0" "3446700.0" "10320.0" "33660.0" "715530.0" "323700.0" "4320.0"
"SP-1" "1260.0" "16920.0" "389760.0" "3281700.0" "23910.0" "963090.0" "357840.0" "162030.0" "30180.0" "1987830.0" "27060.0" "16770.0" "215400.0" "438180.0" "2730.0"
"SP-2" "2070.0" "12840.0" "366540.0" "3747540.0" "10500.0" "1015110.0" "141840.0" "176280.0" "26400.0" "1513410.0" "9150.0" "16920.0" "212640.0" "467820.0" "2280.0"
"SP-3" "1440.0" "29700.0" "445140.0" "2907210.0" "28890.0" "1182750.0" "644580.0" "159810.0" "32640.0" "2410920.0" "17880.0" "16110.0" "210570.0" "346800.0" "2340.0"
"SDPS-1" "1170.0" "2940.0" "146520.0" "4772520.0" "6060.0" "494610.0" "59250.0" "63690.0" "7620.0" "523380.0" "9990.0" "12120.0" "271020.0" "472110.0" "2190.0"
"SKR-1" "360.0" "11970.0" "554010.0" "2770890.0" "9540.0" "422910.0" "21510.0" "365550.0" "21570.0" "3658530.0" "17880.0" "15600.0" "206730.0" "382860.0" "2040.0"
"SSK-1" "2160.0" "36750.0" "363060.0" "2442060.0" "18630.0" "944910.0" "2451210.0" "110010.0" "27300.0" "1929240.0" "19050.0" "13860.0" "287070.0" "370860.0" "4950.0"
"SCHT-1" "1080.0" "15480.0" "354900.0" "3275640.0" "25680.0" "1006710.0" "353490.0" "150120.0" "30180.0" "1766010.0" "26850.0" "15810.0" "294480.0" "506250.0" "3510.0"
"KK" "240.0" "4980.0" "1191360.0" "2070240.0" "8310.0" "437070.0" "64620.0" "47100.0" "10290.0" "586800.0" "10680.0" "13230.0" "406650.0" "564930.0" "2370.0"
"SDO-9" "4890.0" "34560.0" "452400.0" "2286990.0" "76230.0" "1102980.0" "619740.0" "204060.0" "503370.0" "3615180.0" "71550.0" "26820.0" "215670.0" "283920.0" "174000.0"
"SDO-1" "5400.0" "35340.0" "372630.0" "2169690.0" "21420.0" "566730.0" "1904940.0" "148230.0" "291720.0" "2838360.0" "97020.0" "68340.0" "283650.0" "293580.0" "235380.0"
"SA-1" "3060.0" "26070.0" "574320.0" "2678580.0" "18120.0" "1363800.0" "95400.0" "191520.0" "17460.0" "3127950.0" "33600.0" "23280.0" "216120.0" "338820.0" "6630.0"
"SSL-1" "300.0" "28500.0" "579840.0" "2783550.0" "2850.0" "1480290.0" "9300.0" "214170.0" "45180.0" "3312810.0" "11790.0" "27420.0" "168240.0" "310050.0" "1770.0"
"GL-O" "330.0" "41400.0" "192090.0" "2459910.0" "31860.0" "3175230.0" "228360.0" "18750.0" "6540.0" "6024900.0" "7770.0" "8940.0" "219750.0" "295260.0" "2790.0"
"TV" "1980.0" "18330.0" "709500.0" "2696340.0" "7770.0" "1681980.0" "33450.0" "197670.0" "19470.0" "3010800.0" "7110.0" "23490.0" "229830.0" "329010.0" "1980.0"
