     x   y
'1'    4  53
'2'    5  63
'3'   10  59
'4'    9  77
'5'   13  49
'6'   13  69
'7'   12  88
'8'   15  75
'9'   18  61
'10'  19  65
'11'  22  74
'12'  27  72
'13'  28  76
'14'  24  58
'15'  27  55
'16'  28  60
'17'  30  52
'18'  31  60
'19'  32  61
'20'  36  72
'21'  28  87
'22'  32  94
'23'  35 103
'24'  33 104
'25'  38  91
'26'  41  98
'27'  38  81
'28'  38 100
'29'  32  98
'30'  34  74
'31'  44  96
'32'  44  97
'33'  44  94
'34'  46  72
'35'  47  99
'36'  49  62
'37'  76 102
'38'  53  94
'39'  52 102
'40'  55  95
'41'  54  94
'42'  60 106
'43'  73 119
'44'  86 132
'45'  85 115
'46'  85  96
'47'  78  94
'48'  74  96
'49'  97 122
'50'  98 116
'51'  98 124
'52'  99 119
'53'  99 128
'54' 101 115
'55' 108 111
'56' 110 111
'57' 108 116
'58' 111 126
'59' 115 117
'60' 117 115
'61'  90   4
'62' 107  12
'63' 103  21
'64'  91  15
'65'  99  15
'66'  98  16
'67' 116  18
'68'  98  13
'69' 104  20
'70' 109  21
'71' 106  23
'72' 101  25
'73'  96  27
'74' 102  31
'75' 104  30
'76'  70  95 
'77'  70  82
'78'  80  83
'79'  60  80
'80'  30  40
'81'  24  37
'82'  20  39
'83'  13  34
'84'  14  25
'86'  13  23
'87'  12  27
'89'   8  38
'90'   8  20
'91'  10  15
'92'  11  18
'93'  14  21
'94'  20   5
'95'  10  43
'96'  18   8
'97'  10   7
'98'   5   5
'99'   3   9
'100'  3  30
'101'  4  26
'102'  5  29
